Year,Quarter,GDP,Population,Interest Rate,income,Construction Investments,Real Estate Market Services,Inflation,Warszawa rynek pierwotny,secondary market prices,Date
2022,Q3,790197.0,35997.5,9.0,7880.86,2273.2,2181.5,116.3,12911.995748131645,13483.729526723911,2022-08-01
2022,Q4,882813.9,35995.75,9.2,8168.95,3783.2,3335.1,117.3,13009.170955826256,13499.166865823601,2022-11-01
2023,Q1,796430.1,35994.0,8.8,8785.19,659.3,482.4,117.0,13301.620715745037,13829.75272917417,2023-02-01
2023,Q2,815607.8,35994.0,8.6,8668.54,2160.1,1847.5,113.1,13713.211013994849,14276.713227594566,2023-05-01
2023,Q3,849111.9,35994.0,8.2,8770.01,3407.4,2732.9,109.7,14879.854909489528,14952.525192888772,2023-08-01
2023,Q4,940459.8,35994.0,7.7,9120.61,5142.7,4913.5,106.4,15559.362991044336,16659.645840296376,2023-11-01
2024,Q1,835773.1,35994.0,7.6,9998.28,1010.3,414.1,102.8,16189.648175126686,17567.08369587569,2024-02-01
2024,Q2,863279.1,35994.0,7.8,9727.96,2591.3,1558.3,102.5,16511.763278202605,18674.664356184665,2024-05-01
2024,Q3,905026.3,35994.0,7.8,9775.72,4318.7,2468.3,104.5,16820.658799111454,18708.53105043588,2024-08-01
2024,Q4,1013359.6,35994.0,7.4,9775.72,4318.7,2468.3,104.8,16785.236037729595,18678.01056903547,2024-11-01
